time,mon,fgov,repress,restraint,restraint5,vio,nonvio,nonvio2,milprimes,prime_frat,prime_future,prime_RU,prime_UN,post_exp,mil_frat,mil_future,mil_RU,mil_UN,oppose92coup,oppose92coup2,civwar,islamist,supp_sharia,active,conscript,soldier,junoff,senoff,rank4,branch_1,branch_2,branch_3,branch_4,branch_5,branch_6,branch_7,branch,branch2,foreign_training,train_west,train_russia,train_china,age,young,sex,edu,BA,income,urban,urban_area,employed,student,arabic,dem,supp_opp_parties,continue,protested,preboutef,econ,econ1,corr,corr1,prot,slogans_1,slogans_2,slogans_3,slogans_4,actions_5,system,actions_3,actions_6,other_7,rep_mech_2,rep_mech_3
22.96666667,1,29,1,1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0,1,0,0,1,0,0,Soldier,0,0,0,0,0,0,1,Army,Land,0,0,0,0,5,0,0,5,1,1,3,1,1,0,1,0.75,0,0,0,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
26.65,1,19,1,1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0,1,NA,0,0,1,0,Jun. Officer,1,0,0,0,0,0,0,Army,Land,1,0,0,0,6,0,0,5,1,5,3,1,1,0,0,0.75,0,0,1,1,4,0.75,3,0.5,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
21.63333333,1,17,3,0,3,1,1,1,mil_ct,0,0,0,0,0,NA,NA,NA,NA,1,1,1,0,1,1,0,1,0,0,Soldier,0,0,0,0,0,0,1,Army,Land,1,0,0,0,5,0,0,4,0,1,3,1,1,0,1,1,0,0,1,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,5
29.78333333,1,22,1,1,5,2,0.666666667,0,mil_ct,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,1,1,0,0,0,0,NCO,0,0,0,0,0,1,0,Gend,Land,0,0,0,0,5,0,0,5,1,4,2,0,1,0,1,0,NA,0,0,1,3,0.5,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,5,3
31.25,1,16,1,1,5,1,1,1,mil_ct,0,0,0,0,0,NA,NA,NA,NA,1,1,0,0,0.5,1,0,0,0,0,NCO,0,0,0,0,0,0,1,Army,Land,0,0,0,0,6,0,0,4,0,1,3,1,1,0,1,0,0,0,1,1,1,0,1,0,5,NA,NA,NA,NA,NA,4,NA,NA,NA,5,1
38.06666667,1,35,1,1,5,1,1,1,mil_future,0,1,0,0,0,NA,0,NA,NA,1,1,0,0,0.75,NA,1,0,0,0,NCO,1,0,0,0,0,0,0,Army,Land,0,0,0,0,8,0,0,4,0,4,3,1,0,0,0,1,0.5,0,1,1,1,0,5,1,5,NA,NA,NA,NA,NA,4,NA,NA,NA,5,5
43.08333333,1,16,1,1,5,1,1,1,mil_frat,1,0,0,0,0,1,NA,NA,NA,NA,NA,0,0,1,NA,0,0,0,0,NCO,0,0,0,1,0,0,0,Air,AirNavy,1,0,0,0,4,0,0,4,0,1,3,1,1,0,1,0.75,0,0,1,1,1,0,4,0.75,5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,4
49.18333333,1,48,5,0,1,1,1,1,mil_future,0,1,0,0,0,NA,1,NA,NA,1,1,1,0,0,1,0,1,0,0,Soldier,1,0,0,0,0,0,0,Army,Land,0,0,0,0,5,0,0,3,0,1,2,0,1,0,1,0,NA,0,0,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,1,1
37.43333333,1,8,1,1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,1,1,0,0.75,1,0,0,0,0,NCO,1,0,0,0,0,0,0,Army,Land,0,0,0,0,6,0,0,3,0,1,1,0,1,0,1,0.75,1,0,0,1,4,0.75,4,0.75,5,NA,NA,NA,NA,NA,4,NA,NA,NA,5,5
37.91666667,1,28,1,1,5,1,1,1,mil_frat,1,0,0,0,0,1,NA,NA,NA,0.5,0,0,0,1,0,0,1,0,0,Soldier,1,0,0,0,0,0,0,Army,Land,0,0,0,0,4,0,0,4,0,3,3,1,0,0,1,0.75,0,0,1,1,1,0,5,1,5,NA,NA,NA,NA,NA,5,NA,NA,NA,4,5
