"year","country","v2x_polyarchy","v2x_pubcorr","v2jucorrdc","v2xel_regelec","v2elsnlsff","v2elrgpwr","e_fh_rol","v2ellocelc","v2ellocpwr","v2xel_locelec","RWI","bmr_democracy","polity","polity2","xpolity","gdppc10","pop","minor","major","armedconf","fh.A.Legal","fh.B.Political","fh.C.Economic","fh.total.score","fh.media.freedom","rulelaw.wb","l.polity2","polity2.squ","l.polity2.squ","v2x_polyarchy.sq","v2x_libdem.sq","lpop","l.lpop","lrgdp","l.lrgdp","pts","l.pts","gwno","alljourn","polgroup","state","other","unknown","stateunknown","stateunknownother","foreign.state","local.state","capital.stateunknown","capital.state","nocapital.state","regional.media.state","national.media.state","international.media.state","foreign.unknown","local.unknown","capital.unknown","nocapital.unknown","regional.media.unknown","national.media.unknown","international.media.unknown","state.nationalreach.d","unknown.nationalreach.d","state.localreach.d","unknown.localreach.d","state.d","unknown.d","stateunknown.d","polgroup.d","other.d","capital.state.d","capital.unknown.d","capital.stateunknown.d","nocapital.state.d","nocapital.unknown.d","regional.media.state.d","national.media.state.d","international.media.state.d","regional.media.unknown.d","national.media.unknown.d","international.media.unknown.d","nonregional.state.d","nonregional.unknown.d"
2007,"United States",0.896,0.027,-2.189,0.996,0.276,2.67,14,5,1.789,0.962,"liberal democracy",1,10,10,7,49979.5338429195,301231207,1,0,1,5,8,4,17,2,1.627855,10,100,100,0.802816,0.698896,19.5233886574207,19.513878104993,10.8193688774731,10.8112500423838,3,3,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"United States",0.898,0.029,-2.389,0.996,0.276,2.67,13,5,1.789,0.962,"liberal democracy",1,10,10,7,51638.065206636,321418820,1,0,1,6,10,5,21,2,1.596108,10,100,100,0.806404,0.702244,19.5882555658694,19.5804113396131,10.8520143773074,10.8342284009847,2,2,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"United States",0.887,0.039,-2.352,0.998,0.276,2.883,12,5,1.332,0.91,"liberal democracy",NA,8,8,7,NA,NA,1,0,1,6,12,5,23,2,NA,10,64,100,0.786769,0.675684,NA,19.5882555658694,NA,10.8520143773074,2,2,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2002,"Haiti",0.425,0.86,1.568,0.346,-1.716,0.5,NA,5,0.863,0.814,"electoral autocracy",0,-2,-2,-3,732.551581655246,8834739,NA,0,0,17,39,23,79,0,-1.767751,NA,4,NA,0.180625,0.067081,15.9942021217036,15.977978505506,6.59653375705392,6.61527518562735,3,3,41,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
2004,"Haiti",0.256,0.86,1.568,0.346,-1.716,0.5,NA,5,0.863,0.814,"electoral autocracy",0,-88,0,-88,687.190967772073,9119182,1,0,1,19,28,19,66,0,-1.71606,-2,0,4,0.065536,0.011236,16.0258906650454,16.0101267363839,6.53261222706224,6.58424054421048,4,3,41,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
2005,"Haiti",0.244,0.88,1.568,0.346,-1.716,0.5,0,5,0.863,0.814,"closed autocracy",0,-88,3,-88,688.702470721511,9263409,NA,0,0,19,30,19,68,0,-1.638938,0,9,0,0.059536,0.009216,16.0415826814231,16.0258906650454,6.53480935005912,6.53261222706224,4,4,41,2,0,1,0,1,2,2,1,0,2,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1
2007,"Haiti",0.458,0.88,1.27,0.346,-1.716,0.5,4,5,0.863,0.814,"electoral autocracy",0,5,5,5,705.38310305865,9556958,NA,0,0,15,23,18,56,1,-1.344052,5,25,25,0.209764,0.088804,16.0727800335541,16.0572281433975,6.55874106381312,6.54140688724981,3,3,41,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
2012,"Haiti",0.449,0.88,1.335,0.346,-1.716,0.5,4,5,1.061,0.856,"electoral autocracy",0,-77,0,-77,698.813565116545,10288828,NA,0,0,14,17,18,49,1,-1.327451,0,0,0,0.201601,0.070225,16.1465692043361,16.1324806884036,6.54938399008715,6.53502989881399,3,3,41,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2013,"Haiti",0.432,0.845,1.324,0.343,-1.684,0.495,4,5,0.898,0.813,"electoral autocracy",0,-77,0,-77,718.456612170314,10431249,NA,0,0,14,18,18,50,1,-1.294263,0,0,0,0.186624,0.068121,16.1603165705265,16.1465692043361,6.57710531701558,6.54938399008715,3,3,41,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Dominican Republic",0.698,0.775,1.162,0.394,-0.927,0.795,NA,5,1.563,0.942,"electoral democracy",1,8,8,6,3995.39590854213,9102997,NA,0,0,7,16,15,38,1,-0.6721057,8,64,64,0.487204,0.145924,16.0241142579257,16.0091463700457,8.29289795430199,8.29483157630205,3,3,42,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
